restaurant_id,summary
1,"Restaurant: PJ Fresh (224 Daniel Payne Drive), Price Range: $, Zip Code: 35207. Menu Categories: Candy (11 items, avg price $2.33); Chicken Tenders (4 items, avg price $12.24); Coffee (6 items, avg price $3.64); Energy (7 items, avg price $3.65); Extra Large Pizza (10 items, avg price $9.79); Juice (3 items, avg price $2.29); Jumbo Wings (4 items, avg price $12.24); Pastries (5 items, avg price $2.53); Snacks (18 items, avg price $7.91); Soda (15 items, avg price $2.38); Spicy Jumbo Wings (4 items, avg price $12.24); Tea (3 items, avg price $2.49); Water (5 items, avg price $3.05)."
2,"Restaurant: J' ti`'z Smoothie-N-Coffee Bar, Price Range: nan, Zip Code: 35217. Menu Categories: Breakfast (All-Day) (8 items, avg price $6.15); Coffee (1 items, avg price $2.50); Desserts (4 items, avg price $4.50); Espresso Shots (2 items, avg price $2.35); Jtizpuccino (3 items, avg price $5.33); Latte (4 items, avg price $5.09); Lunch (5 items, avg price $6.35); Salads (3 items, avg price $5.73); Smoothies (20 items, avg price $5.99); Soup (2 items, avg price $3.50); Teas (4 items, avg price $3.39); Tuna Sandwiches (4 items, avg price $7.57)."
3,"Restaurant: Philly Fresh Cheesesteaks (541-B Graymont Ave), Price Range: $, Zip Code: 35204. Menu Categories: Philly Fresh Cheesesteaks (10 items, avg price $13.54); Philly Fresh Chicken Cheesesteaks (5 items, avg price $13.90); Philly Fresh Drinks (5 items, avg price $3.00); Philly Fresh Sides (3 items, avg price $5.18); Picked for you (5 items, avg price $13.18)."
4,"Restaurant: Papa Murphy's (1580 Montgomery Highway), Price Range: $, Zip Code: 35226. Menu Categories: Create Your Own (1 items, avg price $2.49); Gourmet Delite Pizza (Baking Required) (5 items, avg price $11.99); New! Crustless Pizzas - Keto Friendly (Baking Required) (6 items, avg price $10.66); Salad (4 items, avg price $5.99); Signature Pizza (Baking Required) (6 items, avg price $12.99); Starters, Sides, Desserts and Beverages (7 items, avg price $4.78); Stuffed Pizza (Baking Required) (8 items, avg price $15.99)."
5,"Restaurant: Nelson Brothers Cafe (17th St N), Price Range: nan, Zip Code: 35203. Menu Categories: Beverages (4 items, avg price $1.00); Breakfast (14 items, avg price $5.93); Breakfast Sandwich (9 items, avg price $3.54); Dessert (4 items, avg price $9.19); Pancakes (2 items, avg price $5.12); Picked for you (5 items, avg price $5.65); Plates (5 items, avg price $6.45); Sandwiches and Burgers (15 items, avg price $3.28); Sides (8 items, avg price $2.94)."
39,"Restaurant: Underground Vegan, Price Range: $, Zip Code: 35205. Menu Categories: Baskets N More (3 items, avg price $18.28); Beverages (4 items, avg price $4.95); Kids Meals (2 items, avg price $8.95); Picked for you (5 items, avg price $14.95); Sammy's (9 items, avg price $12.84); Sides (2 items, avg price $5.45)."
52,"Restaurant: Veggie Wonderland, Price Range: nan, Zip Code: 35205. Menu Categories: Appetizers (4 items, avg price $13.22); Breads &amp; Biryani (4 items, avg price $9.39); Desserts &amp; Beverages (4 items, avg price $5.64); Picked for you (5 items, avg price $16.70); Vegetarian Entrees (7 items, avg price $18.69)."
54,"Restaurant: Bayleaf Authentic Indian Cuisine, Price Range: $, Zip Code: 35205. Menu Categories: Bay Leaf chef specials (8 items, avg price $22.28); Desserts (3 items, avg price $9.58); Hara Bhara (5 items, avg price $16.56); Indian Street Appetizers (4 items, avg price $5.75); Main Course Traditional Indian Curries (6 items, avg price $6.90); Modern Indian Appetizers (8 items, avg price $13.94); Non-Alcoholic Indian Beverages (5 items, avg price $4.37); Picked for you (5 items, avg price $10.81); Sides and Breads (7 items, avg price $5.75); Soups and Salad (3 items, avg price $9.20)."
